,PH,Solids,Turbidity,Potability
0,1.6,9685,3.44,0
1,0.0,1371,2.89,0
2,5.8,15688,1.13,0
3,1.5,17793,2.68,0
4,1.4,16977,1.42,0
5,0.3,14162,3.17,0
6,3.5,9394,2.59,0
7,6.4,17451,0.51,0
8,5.9,16122,3.18,0
9,2.6,1377,0.44,0
10,5.6,3684,2.0,0
11,6.2,9970,0.63,0
12,0.5,5029,2.95,0
13,5.1,17094,0.96,0
14,5.4,17709,2.4,0
15,0.0,2622,1.39,0
16,0.5,11024,2.79,0
17,4.0,3715,2.26,0
18,4.2,17909,2.49,0
19,3.5,5086,3.44,0
20,6.1,16269,0.16,0
21,4.2,12204,1.55,0
22,5.6,18821,2.03,0
23,6.4,6335,0.15,0
24,1.7,11148,1.44,0
25,5.9,8703,0.8,0
26,0.4,7985,3.24,0
27,1.2,9920,0.76,0
28,5.8,1368,2.64,0
29,5.3,13783,4.05,0
30,6.4,13842,2.58,0
31,3.8,11590,0.26,0
32,0.3,15883,2.12,0
33,3.5,8674,1.56,0
34,4.2,16806,3.01,0
35,0.2,7528,1.25,0
36,4.5,9353,2.68,0
37,1.5,3589,3.88,0
38,1.4,19816,1.69,0
39,0.4,5546,2.11,0
40,0.4,19961,1.77,0
41,0.9,5680,1.35,0
42,6.4,14500,2.56,0
43,4.5,2680,2.54,0
44,3.8,4944,3.69,0
45,2.6,16475,0.05,0
46,4.5,1089,3.51,0
47,1.6,12136,3.73,0
48,3.2,11615,3.77,0
49,0.2,6473,3.43,0
50,2.3,9036,3.32,0
51,2.5,13711,2.11,0
52,5.1,6080,3.29,0
53,3.8,18165,2.11,0
54,5.2,16128,0.92,0
55,3.8,13444,1.3,0
56,0.5,17334,2.02,0
57,5.9,4036,0.33,0
58,1.4,11107,2.4,0
59,1.2,12004,3.81,0
60,2.6,13473,0.78,0
61,0.6,6955,2.23,0
62,3.0,9268,3.82,0
63,0.4,7893,4.13,0
64,4.3,8608,1.88,0
65,2.0,6851,3.81,0
66,5.6,16626,3.65,0
67,1.9,1854,3.34,0
68,3.3,5669,1.82,0
69,3.4,2516,1.51,0
70,5.3,19515,0.09,0
71,2.2,765,0.81,0
72,3.1,16139,3.19,0
73,6.3,10731,3.48,0
74,1.5,13035,2.3,0
75,1.5,12062,2.34,0
76,4.4,1363,1.47,0
77,6.0,12945,2.3,0
78,2.5,2430,1.48,0
79,1.4,16694,0.57,0
80,5.8,3669,0.42,0
81,1.7,17747,1.37,0
82,4.5,5842,1.11,0
83,2.9,13993,3.82,0
84,4.3,14282,1.19,0
85,0.9,5878,2.55,0
86,2.3,1269,2.99,0
87,4.9,2454,1.59,0
88,3.4,7850,3.87,0
89,5.5,17457,2.29,0
90,2.4,3296,0.22,0
91,3.5,4285,1.58,0
92,5.7,9193,3.14,0
93,5.2,18138,4.1,0
94,4.1,12785,2.4,0
95,1.3,6517,1.18,0
96,1.5,9299,0.14,0
97,0.1,16218,1.51,0
98,1.3,12887,2.45,0
99,2.7,1660,3.55,0
100,0.1,3397,3.78,0
101,6.0,9433,0.77,0
102,1.1,13382,0.22,0
103,1.4,18881,3.02,0
104,4.7,16331,2.56,0
105,5.7,8733,2.95,0
106,5.3,5677,0.55,0
107,0.0,4225,0.69,0
108,1.5,7637,0.2,0
109,3.6,12226,0.18,0
110,1.3,4550,2.41,0
111,2.6,1281,0.36,0
112,6.0,16799,0.02,0
113,5.5,12500,0.29,0
114,0.8,16107,3.23,0
115,4.3,18226,1.81,0
116,2.2,2232,2.1,0
117,4.4,13875,0.45,0
118,4.0,11645,3.94,0
119,6.2,12399,1.93,0
120,3.3,2327,3.43,0
121,0.6,19232,1.04,0
122,0.1,19150,3.92,0
123,2.8,7300,0.94,0
124,2.0,7309,2.23,0
125,0.2,9862,3.38,0
126,3.7,5008,0.11,0
127,3.1,9697,2.49,0
128,1.6,5871,2.51,0
129,6.3,10611,2.94,0
130,5.1,1949,1.01,0
131,4.5,4992,0.88,0
132,1.6,3412,2.22,0
133,5.0,11483,0.93,0
134,5.8,6130,2.9,0
135,3.0,10237,0.07,0
136,0.1,12204,2.08,0
137,1.1,5343,1.67,0
138,3.1,12221,2.3,0
139,5.4,19874,0.34,0
140,5.2,8998,2.13,0
141,1.0,7179,3.44,0
142,6.0,18538,0.12,0
143,0.0,6668,3.87,0
144,5.9,682,0.95,0
145,3.3,13984,0.29,0
146,2.5,9654,0.85,0
147,4.2,12512,2.46,0
148,2.2,19140,3.49,0
149,0.0,12187,1.84,0
150,2.8,929,1.61,0
151,2.3,12400,1.36,0
152,2.0,17891,0.34,0
153,1.6,13693,1.26,0
154,3.6,1440,4.13,0
155,4.7,4015,2.95,0
156,2.2,6665,3.44,0
157,2.9,14928,1.5,0
158,3.8,18774,2.0,0
159,6.4,6652,0.28,0
160,4.6,1254,1.17,0
161,1.0,19931,3.18,0
162,3.8,16395,1.4,0
163,3.9,4423,0.91,0
164,0.6,15180,3.87,0
165,5.1,14654,2.16,0
166,3.0,2668,0.19,0
167,4.8,7921,2.94,0
168,1.1,14295,2.98,0
169,5.5,15536,2.4,0
170,0.1,3494,3.81,0
171,5.8,15490,2.46,0
172,2.4,16863,1.07,0
173,3.7,7315,1.57,0
174,1.1,17920,0.3,0
175,1.5,12835,0.56,0
176,1.3,11710,2.38,0
177,0.8,3805,0.08,0
178,3.7,10375,2.3,0
179,4.7,6161,2.76,0
180,3.0,10377,0.0,0
181,0.9,16276,1.31,0
182,0.6,19493,2.57,0
183,5.9,9704,3.9,0
184,3.7,7512,0.6,0
185,3.1,19064,2.11,0
186,2.3,7859,1.87,0
187,3.8,9561,1.22,0
188,3.6,18313,0.09,0
189,0.9,12400,3.73,0
190,1.7,15694,1.23,0
191,0.8,15300,0.22,0
192,2.1,11097,0.15,0
193,1.5,5655,2.96,0
194,6.1,16259,1.75,0
195,1.7,418,1.36,0
196,2.6,7207,1.25,0
197,4.3,6739,2.54,0
198,0.7,5274,4.14,0
199,5.4,699,2.82,0
200,1.7,1684,2.83,0
